date,user,type,ioc,tags,context
2026-07-12,tweetfeed,URL,https://xkpnjhi.com,n/a,https://x.com/klawlikula/status/2076292626966294695
2026-07-12,tweetfeed,URL,http://45.13.38.82,n/a,https://x.com/klawlikula/status/2076292626966294695
2026-07-12,tweetfeed,URL,http://ringgo.fxbwljo.club,phishing,https://x.com/skocherhan/status/2076324035399446576
2026-07-12,tweetfeed,URL,http://bakeloria.cloud,"APT, malware",https://x.com/phatomcandle/status/2076332329354879376
2026-07-11,tweetfeed,DOMAIN,primecontent.online,"phishing, scam",https://x.com/Malwarehunterr/status/2075989673101689147
2026-07-11,tweetfeed,DOMAIN,exoduuss.online,phishing,https://x.com/Malwarehunterr/status/2076036227208454223
2026-07-11,tweetfeed,DOMAIN,lnstagrarn.vercel.app,n/a,https://x.com/scanmalware/status/2076036896036159578
2026-07-11,tweetfeed,DOMAIN,Progressive936.onmicrosoft.com,n/a,https://x.com/skocherhan/status/2076057641827094772
2026-07-11,tweetfeed,DOMAIN,seconds.australiaeast.cloudapp.azure.com,n/a,https://x.com/skocherhan/status/2076057641827094772
2026-07-11,tweetfeed,DOMAIN,bafkreigwgslapdzbhvzbi3mmay6rduitw34qnt2y6dpzs3at34uhpirrbm.ipfs.inbrowser.link,phishing,https://x.com/PhishStats/status/2076063208071180307
2026-07-11,tweetfeed,DOMAIN,masgravr.shop,malware,https://x.com/Malwarehunterr/status/2076063563630928369
2026-07-11,tweetfeed,DOMAIN,masgravr.online,malware,https://x.com/skocherhan/status/2076064283679506658
2026-07-11,tweetfeed,DOMAIN,payloadmasgravr.online,malware,https://x.com/skocherhan/status/2076064283679506658
2026-07-11,tweetfeed,DOMAIN,2026-07-08masgravr.shop,malware,https://x.com/skocherhan/status/2076064283679506658
2026-07-11,tweetfeed,DOMAIN,aassdd.pro,malware,https://x.com/skocherhan/status/2076067866189701183
2026-07-11,tweetfeed,DOMAIN,afusesindicato.shop,malware,https://x.com/skocherhan/status/2076067866189701183
2026-07-11,tweetfeed,DOMAIN,camargopapelaria.shop,malware,https://x.com/skocherhan/status/2076067866189701183
2026-07-11,tweetfeed,DOMAIN,carrociniconsultoria.shop,malware,https://x.com/skocherhan/status/2076067866189701183
2026-07-11,tweetfeed,DOMAIN,importadorapontes.shop,malware,https://x.com/skocherhan/status/2076067866189701183
2026-07-11,tweetfeed,DOMAIN,newkget.com,malware,https://x.com/skocherhan/status/2076067866189701183
2026-07-11,tweetfeed,DOMAIN,preximportadora.shop,malware,https://x.com/skocherhan/status/2076067866189701183
2026-07-11,tweetfeed,DOMAIN,zambellicalcados.shop,malware,https://x.com/skocherhan/status/2076067866189701183
2026-07-12,tweetfeed,DOMAIN,jennyvernardo.com,"malware, phishing",https://x.com/masaomi346/status/2076083950125260882
2026-07-12,tweetfeed,DOMAIN,nexus2025.kozow.com,n/a,https://x.com/skocherhan/status/2076084937027940412
2026-07-12,tweetfeed,DOMAIN,amarres25.dynuddns.net,n/a,https://x.com/skocherhan/status/2076084937027940412
2026-07-12,tweetfeed,DOMAIN,andresrosado218.kozow.com,n/a,https://x.com/skocherhan/status/2076084937027940412
2026-07-12,tweetfeed,DOMAIN,nuevos.kozow.com,n/a,https://x.com/skocherhan/status/2076084937027940412
2026-07-12,tweetfeed,DOMAIN,duck12.dynuddns.net,n/a,https://x.com/skocherhan/status/2076084937027940412
2026-07-12,tweetfeed,DOMAIN,dios123.kozow.com,n/a,https://x.com/skocherhan/status/2076084937027940412
2026-07-12,tweetfeed,DOMAIN,dadadsaqdsasd.dynuddns.com,n/a,https://x.com/skocherhan/status/2076084937027940412
2026-07-12,tweetfeed,DOMAIN,nuevos2025.dynuddns.com,n/a,https://x.com/skocherhan/status/2076084937027940412
2026-07-12,tweetfeed,DOMAIN,publication-saving-reef-delete.trycloudflare.com,opendir,https://x.com/smica83/status/2076217732970729748
2026-07-12,tweetfeed,DOMAIN,pub-5f8c8eaff71b48eb97dfe35290b55d11.r2.dev,n/a,https://x.com/smica83/status/2076219098476732847
2026-07-12,tweetfeed,DOMAIN,ms.982483.vg,n/a,https://x.com/smica83/status/2076220123195625785
2026-07-12,tweetfeed,DOMAIN,xn--igb2a4cg0ab.online,phishing,https://x.com/Malwarehunterr/status/2076222594517496265
2026-07-12,tweetfeed,DOMAIN,fawary-nfc-1.site,phishing,https://x.com/Malwarehunterr/status/2076259089072742845
2026-07-12,tweetfeed,DOMAIN,pat-re-on.site,phishing,https://x.com/Malwarehunterr/status/2076269554972700946
2026-07-12,tweetfeed,DOMAIN,log.brunaecass.com,phishing,https://x.com/Malwarehunterr/status/2076269554972700946
2026-07-12,tweetfeed,DOMAIN,aoo.com.mx,AsyncRAT,https://x.com/skocherhan/status/2076269433652146413
2026-07-12,tweetfeed,DOMAIN,setmore.online,phishing,https://x.com/skocherhan/status/2076270427035296011
2026-07-12,tweetfeed,DOMAIN,referlza.online,phishing,https://x.com/skocherhan/status/2076270427035296011
